state,x,y
Jammukashmir,-122.0, 303.0
Himachalpradesh,-89.0, 234.0
Punjab,-156.0, 202.0
Uttarakhand,-50.0, 188.0
Haryana,-121.0, 171.0
Rajasthan,-176.0, 114.0
Uttarpradesh,-39.0, 120.0
Gujarat,-242.0, 31.0
Bihar,65.0, 102.0
Sikkim,116.0, 137.0
Arunachalpradesh,246.0, 174.0
Nagaland,247.0, 113.0
Manipur,230.0, 81.0
Mizoram,211.0, 29.0
Tripura,183.0, 59.0
Assam,201.0, 115.0
Meghalaya,154.0, 91.0
Westbengal,117.0, 32.0
Jharkhand,52.0, 51.0
Madhyapradesh,-95.0, 27.0
Chhattishgarh,-24.0, -20.0
Orrisa,68.0, -31.0
Maharashtra,-154.0, -52.0
Telangana,-75.0, -67.0
Andhrapradesh,-65.0, -153.0
Karnataka,-143.0, -173.0
Goa,-175.0, -136.0
Kerala,-119.0, -281.0
Tamilnadu,-73.0, -210.0
